,Fecha,Mercado,Ahuyama,Arveja verde en vaina,Cebolla cabezona blanca,Cebolla junca,Chocolo mazorca,Fríjol verde*,Habichuela,Lechuga batavia,Pepino cohombro,Pimentón,Remolacha,Tomate*,Zanahoria,Banano*,Coco,Granadilla,Guayaba*,Limón común,Limón Tahití,Lulo,Mandarina*,Mango tommy,Manzana royal gala,Maracuyá,Mora de Castilla,Naranja*,Papaya maradol,Piña *,Tomate de árbol,Papa  criolla,Papa negra*,Plátano guineo,Plátano hartón verde,Yuca*
0,2/01/2017,"Armenia, Mercar",650.0,4000.0,n.d.,1625.0,n.d.,n.d.,n.d.,n.d.,1067.0,n.d.,n.d.,n.d.,708.0,750.0,2500.0,n.d.,n.d.,1200.0,1250.0,n.d.,n.d.,n.d.,4737.0,n.d.,n.d.,n.d.,850.0,1000.0,1360.0,740.0,1067.0,n.d.,1025.0,n.d.
1,2/01/2017,"Bogotá, Corabastos",900.0,n.d.,800.0,3194.0,n.d.,3200.0,2222.0,n.d.,2000.0,4167.0,333.0,1576.0,861.0,1800.0,3708.0,4022.0,1429.0,n.d.,n.d.,n.d.,n.d.,1136.0,5132.0,n.d.,n.d.,1000.0,1111.0,500.0,1200.0,693.0,1556.0,n.d.,1217.0,n.d.
2,2/01/2017,"Cartagena, Bazurto",n.d.,n.d.,1000.0,1912.0,894.0,n.d.,n.d.,1333.0,1300.0,2667.0,583.0,n.d.,833.0,n.d.,n.d.,n.d.,1800.0,n.d.,1200.0,4000.0,1648.0,n.d.,n.d.,2000.0,2400.0,n.d.,1500.0,1200.0,1167.0,500.0,1315.0,n.d.,1225.0,n.d.
3,2/01/2017,Manizales,900.0,3667.0,790.0,1813.0,577.0,2100.0,2320.0,2050.0,1900.0,2825.0,864.0,1788.0,746.0,1233.0,3065.0,2733.0,1133.0,n.d.,838.0,2575.0,925.0,1767.0,4868.0,1350.0,2750.0,717.0,1225.0,1233.0,890.0,693.0,1354.0,n.d.,n.d.,1227.0
4,2/01/2017,"Medellín,
CMA",550.0,4600.0,1069.0,2317.0,804.0,2175.0,1433.0,1071.0,1300.0,3063.0,650.0,1933.0,1056.0,n.d.,5859.0,3941.0,n.d.,n.d.,1175.0,2900.0,n.d.,1110.0,4605.0,1038.0,n.d.,919.0,1575.0,1125.0,1038.0,974.0,1133.0,n.d.,1400.0,n.d.
5,2/01/2017,Montería,n.d.,n.d.,1100.0,2083.0,1165.0,2500.0,2000.0,1500.0,n.d.,5000.0,1000.0,2125.0,1111.0,813.0,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,4605.0,n.d.,2208.0,n.d.,n.d.,n.d.,n.d.,1025.0,2175.0,n.d.,531.0,713.0
6,2/01/2017,"Pasto, El Potrerillo",n.d.,2440.0,432.0,1089.0,857.0,1565.0,1850.0,885.0,1400.0,1500.0,n.d.,1250.0,305.0,n.d.,n.d.,1844.0,1233.0,n.d.,650.0,1638.0,n.d.,1241.0,5175.0,1256.0,n.d.,950.0,1650.0,1350.0,1433.0,n.d.,440.0,n.d.,n.d.,n.d.
7,2/01/2017,"Pereira, 
Mercasa",700.0,n.d.,840.0,933.0,n.d.,n.d.,2000.0,1583.0,n.d.,n.d.,n.d.,2050.0,n.d.,1200.0,2533.0,n.d.,1000.0,1000.0,1200.0,2000.0,1200.0,1200.0,4474.0,1250.0,n.d.,450.0,1200.0,1250.0,1100.0,720.0,1100.0,n.d.,1200.0,n.d.
8,2/01/2017,Sincelejo,573.0,n.d.,1020.0,1200.0,700.0,2500.0,1933.0,1467.0,1200.0,3500.0,1000.0,1920.0,1000.0,762.0,n.d.,n.d.,n.d.,n.d.,n.d.,2900.0,1000.0,n.d.,n.d.,1500.0,3250.0,740.0,n.d.,973.0,1190.0,980.0,2000.0,n.d.,960.0,442.0
9,2/01/2017,"Villavicencio, CAV",n.d.,n.d.,1075.0,3641.0,n.d.,2083.0,1806.0,1600.0,1400.0,2257.0,667.0,1450.0,917.0,n.d.,n.d.,n.d.,800.0,1200.0,1200.0,2575.0,600.0,1125.0,4912.0,n.d.,3278.0,560.0,842.0,n.d.,1510.0,n.d.,n.d.,n.d.,n.d.,n.d.
